2018-02-16,Dia do Repórter,1
2018-03-01,Dia do Turismo Ecológico,1
2018-03-02,Dia do Turismo,1
2018-03-08,Dia da Mulher,0
2018-03-10,Dia do Telefone,1
2018-03-12,Dia do Bibliotecário,1
2018-03-14,Dia da Poesia,1
2018-03-15,Dia da Escola,1
2018-03-19,Dia do Artesão,1
2018-03-19,Dia do Carpinteiro,2
2018-03-20,Dia da Agricultura,1
2018-03-22,Dia da Água,1
2018-03-26,Dia do Cacau,1
2018-03-28,Dia do Revisor,1
2018-03-31,Dia da Saúde e Nutrição,1
2018-04-01,Páscoa,0
2018-04-01,Dia da Mentira,1
2018-04-07,Dia da Saúde,1
2018-04-07,Dia do Jornalista,2
2018-04-07,Dia do Corretor,3
2018-04-08,Dia do Sistema Braille,1
2018-04-09,Dia do Aço,1
2018-04-10,Dia da Engenharia,1
2018-04-12,Dia do Humorista,1
2018-04-13,Dia do Beijo,1
2018-04-14,Dia das Américas,1
2018-04-14,Dia do Neurocirurgião,2
2018-04-15,Dia do Desenhista,1
2018-04-16,Dia da Voz,1
2018-04-17,Dia da Botânica,1
2018-04-18,Dia do Livro Infantil,1
2018-04-19,Dia da Bicicleta,1
2018-04-19,Dia do Índio,1
2018-04-19,Dia do Exército Brasileiro,2
2018-04-20,Dia do Diplomata,1
2018-04-21,Tiradentes,0
2018-04-22,Descobrimento do Brasil,0
2018-04-22,Dia do Agente de Viagem,1
2018-04-23,Dia do Livro,1
2018-04-25,Dia da Contabilidade,1
2018-04-27,Dia da Empregada Doméstica,1
2018-04-28,Dia da Educação,1
2018-04-28,Dia da Seg e Saúde no Trabalho,2
2018-04-28,Dia da Sogra,3
2018-04-29,Dia da Dança,1
2018-05-01,Dia do Trabalho,0
2018-05-01,Dia da Literatura Brasileira,1
2018-05-04,Dia de Star Wars,1
2018-05-05,Dia das Comunicações,1
2018-05-06,Dia da Matemática,1
2018-05-07,Dia do Oftalmologista,1
2018-05-08,Dia do Profissional de Marketing,1
2018-05-08,Dia do Artista Plástico,2
2018-05-10,Dia da Cozinheira,1
2018-05-12,Dia da Enfermagem,1
2018-05-13,Abolição da Escravatura,0
2018-05-13,Dia das Mães,0
2018-05-13,Dia do Automóvel,1
2018-05-15,Dia da Família,1
2018-05-15,Dia do Assistente Social,2
2018-05-15,Dia do Gerente de Banco,3
2018-05-16,Dia do Gari,1
2018-05-17,Dia da Internet,1
2018-05-17,Dia Contra a Homofobia,2
2018-05-17,Dia da Reciclagem,3
2018-05-19,Dia do Físico,1
2018-05-22,Dia do Abraço,1
2018-05-22,Dia da Biodiversidade,2
2018-05-24,Dia do Café,1
2018-05-25,Dia da Indústria,2
2018-05-25,Dia do Orgulho Nerd,3
2018-05-25,Dia de Adoção,4
2018-05-25,Dia da Costureira,5
2018-05-25,Dia do Trabalhador Industrial,6
2018-05-27,Dia da Mata Atlântica,1
2018-05-27,Dia do Profissional Liberal,2
2018-05-29,Dia da Energia,1
2018-05-29,Dia do Geógrafo,2
2018-05-29,Dia do Sociólogo,3
2018-05-30,Dia do Desafio,1
2018-05-31,Corpus Christi,0
2018-05-31,Dia da Aeromoça,1
2018-06-03,Dia do Profissional de RH,1
2018-06-05,Dia da Ecologia,1
2018-06-08,Dia dos Oceanos,1
2018-06-09,Dia do Tenista,1
2018-06-10,Dia da Língua Portuguesa,1
2018-06-11,Dia da Marinha Brasileira,1
2018-06-12,Dia dos Namorados,0
2018-06-13,Dia do Turista,1
2018-06-13,Dia de Santo Antônio,2
2018-06-15,Dia da Energia Eólica,1
2018-06-18,Dia do Químico,1
2018-06-19,Dia do Cinema Nacional,1
2018-06-20,Dia do Revendedor,1
2018-06-21,Dia da Ioga,1
2018-06-23,Dia do Atleta Olímpico,1
2018-06-24,Dia de São João,1
2018-06-25,Dia do Imigrante,1
2018-06-28,Dia do Orgulho Gay,1
2018-06-29,Dia de São Pedro,1
2018-06-29,Dia da Telefonista,2
2018-07-02,Dia do Bombeiro,1
2018-07-04,Dia do Atendente de Telemarketing,1
2018-07-10,Dia da Saúde Ocular,1
